VEG STARTER,Paneer Tikka,200
VEG STARTER,Paneer Cheese Kabab,220
VEG STARTER,Paneer Makhmali Kabab,220
VEG STARTER,Stuff Mushroom Hariyali,210
VEG STARTER,Audhi Aloo,190
VEG STARTER,Tandoori Babycorn,180
VEG STARTER,Harabhara Kabab,130
VEG STARTER,Veg. Seekh Kabab,130
VEG STARTER,Tandoor Aloo,130
VEG STARTER,Veg. Kabab Platter,400
VEG STARTER,Finger Chips,90
VEG STARTER,Veg. Pakoda,90
VEG STARTER,Paneer Pakoda,150
VEG STARTER,Cheese Pakoda,160
VEG STARTER,Onion Pakoda,90
CHINESE STARTER,Golden Fried Babycorn,180
CHINESE STARTER,Mushroom Chilly Dry,190
CHINESE STARTER,Mushroom Kaju Schezwan Dry,220
CHINESE STARTER,Veg 65,170
CHINESE STARTER,Veg Gold Finger,130
CHINESE STARTER,Veg Gold Coin,130
CHINESE STARTER,Veg Munchurian Dry,130
CHINESE STARTER,Gobi Munchurian Dry,130
CHINESE STARTER,Veg Spring Roll,140
CHINESE STARTER,Wonton Fry,150
CHINESE STARTER,Veg Crispy,140
CHINESE STARTER,Corn Cottage Cheese Boll,150
CHINESE STARTER,Chinese Platter,400
SHORBA & SOUP ,TamatarDhaniya ka Shorba,60
SHORBA & SOUP ,Palak Shorba,60
SHORBA & SOUP ,Tomato Soup,60
SHORBA & SOUP ,Dal Shorba,60
SHORBA & SOUP ,Lemon Coriander Soup,70
SHORBA & SOUP ,Veg Manchow Soup,75
SHORBA & SOUP ,Veg Hot & Sour Soup,75
SHORBA & SOUP ,Veg Sweet Corn Soup,70
SALAD & PAPAD & RAITA,Russian Salad,110
SALAD & PAPAD & RAITA,Green Salad,60
SALAD & PAPAD & RAITA,Bowl of Kachumber,70
SALAD & PAPAD & RAITA,Italian Pasta Salad,160
SALAD & PAPAD & RAITA,Boondi Raita,60
SALAD & PAPAD & RAITA,Pineapple Raita,80
SALAD & PAPAD & RAITA,Mix Veg Raita,70
MAIN COURSE VEGETARIAN,Mushroom Mutter Bahar,190
MAIN COURSE VEGETARIAN,Veg Bhuna,180
MAIN COURSE VEGETARIAN,Veg Coconut,190
MAIN COURSE VEGETARIAN,Plain Palak,120
MAIN COURSE VEGETARIAN,Hing Dhaniya Aloo,130
MAIN COURSE VEGETARIAN,Gobi Hara Pyaz,130
MAIN COURSE VEGETARIAN,Aloo Gobi Chilly Fry,140
MAIN COURSE VEGETARIAN,Aloo Mutter,160
MAIN COURSE VEGETARIAN,Bhini Do Pyaza,140
MAIN COURSE VEGETARIAN,Baigan Bharta,150
MAIN COURSE VEGETARIAN,Baigan Masala,140
MAIN COURSE VEGETARIAN,Choley Rampyare,140
MAIN COURSE VEGETARIAN,Methi Lasooni,150
MAIN COURSE VEGETARIAN,Bharleli Wangi,140
MAIN COURSE VEGETARIAN,Shevga Bhaji,150
MAIN COURSE VEGETARIAN,Rassa Patodi,160
MAIN COURSE VEGETARIAN,Methi Pithla,150
MAIN COURSE VEGETARIAN,Kadhi Pakoda,150
MAIN COURSE VEGETARIAN,Dal Makhni,120
MAIN COURSE VEGETARIAN,Dal Tadka,95
MAIN COURSE VEGETARIAN,Dal Fry,90
INDIAN BREAD,Tandoori Roti,15
INDIAN BREAD,Butter Roti,20
INDIAN BREAD,Butter Naan,35
INDIAN BREAD,Plain Naan,25
INDIAN BREAD,Garlic Naan,40
INDIAN BREAD,Butter Kulcha,40
INDIAN BREAD,Masala Kulcha,45
INDIAN BREAD,Rumali Paratha,50
INDIAN BREAD,Laccha Paratha,35
INDIAN BREAD,Missi Roti,40
INDIAN BREAD,Tawa Paratha,25
INDIAN BREAD,Kashmiri Naan,70
INDIAN BREAD,Bread Basket,200
INDIAN BREAD,Tawa Chapati,15
INDIAN BREAD,Jawar / Bajra Bhakri,25
BASMATI-KA-KAMAL,Steam Rice,80
BASMATI-KA-KAMAL,Jeera Rice,90
BASMATI-KA-KAMAL,Veg Pulao,110
BASMATI-KA-KAMAL,Veg Biryani,140
BASMATI-KA-KAMAL,Kashmiri Pulao,160
BASMATI-KA-KAMAL,Mushroom Pulao,160
BASMATI-KA-KAMAL,Dal Khichdi,120
BASMATI-KA-KAMAL,Khichdi Kadi,130
BASMATI-KA-KAMAL,Dahi Bhaat,120
CHINESE RICE & NOODLES,Veg Fried Rice,130
CHINESE RICE & NOODLES,Paneer Fried Rice,170
CHINESE RICE & NOODLES,Veg Shanghai Fried Rice,150
CHINESE RICE & NOODLES,Veg Schezwan Fried Rice,130
CHINESE RICE & NOODLES,Veg Hakka Noodles,130
CHINESE RICE & NOODLES,Veg Schezwan Noodle,140
CHINESE RICE & NOODLES,Veg American Choupsy,170
CHINESE RICE & NOODLES,Veg Chinese Choupsy,150
CHINESE RICE & NOODLES,Veg Combination Rice,170
CHINESE RICE & NOODLES,Veg Triple Schezwan Fried Rice,190
CHINESE STARTERS,Chicken Kentucky (Half),210
CHINESE STARTERS,Chicken Spring Roll,210
CHINESE STARTERS,Chicken Satay,220
CHINESE STARTERS,Chicken 65,210
CHINESE STARTERS,Chicken Crispy,210
CHINESE STARTERS,Chicken Gold Finger,210
CHINESE STARTERS,Chicken Gold Coin,210
CHINESE STARTERS,Lamb Chilly,260
CHINESE STARTERS,Prawns Chilly Dry,260
CHINESE STARTERS,Golden Fried Prawns,260
CHINESE STARTERS,Fish Finger,240
SHORBA & SOUP,Yakhani Shorba,110
SHORBA & SOUP,Chicken Manchow Soup,90
SHORBA & SOUP,Chicken Hot & Sour Soup,90
SHORBA & SOUP,Chicken Sweet Sour Soup,90
SHORBA & SOUP,Chicken Talumein Soup,90
SHORBA & SOUP,Chicken Tom Yum Soup,100
SHORBA & SOUP,Sea Food Spicy Soup,110
SHORBA & SOUP,French Onion Soup,90
SALAD & FISH & EGGS,Chicken Russian Salad,130
SALAD & FISH & EGGS,Chicken Hawaiin Salad,130
SALAD & FISH & EGGS,Fish Amritsari Curry,290
SALAD & FISH & EGGS,Fish Goan Curry,240
SALAD & FISH & EGGS,Fish Malwani Curry,240
SALAD & FISH & EGGS,Eggs Curry,120
SALAD & FISH & EGGS,Eggs Omlette,80
SALAD & FISH & EGGS,Eggs Bhurji,80
SALAD & FISH & EGGS,Boiled Eggs,80
MAIN COURSE NON VEGETARIAN,Chicken Masala,200
MAIN COURSE NON VEGETARIAN,Chicken Kolhapuri,200
MAIN COURSE NON VEGETARIAN,Chicken Kadhai,240
MAIN COURSE NON VEGETARIAN,Chicken Tikka Masala,240
MAIN COURSE NON VEGETARIAN,Chicken Mughlai,240
MAIN COURSE NON VEGETARIAN,Chicken Patiyala,250
MAIN COURSE NON VEGETARIAN,Chefs Special Chicken,280
MAIN COURSE NON VEGETARIAN,Chicken Handi (Half),280
MAIN COURSE NON VEGETARIAN,Chicken Maratha (Half),300
MAIN COURSE NON VEGETARIAN,Chicken Varadi Rassa (Half),280
MAIN COURSE NON VEGETARIAN,Butter Chicken (Half),300
MAIN COURSE NON VEGETARIAN,Murg Musslum (Full),560
MAIN COURSE NON VEGETARIAN,Mutton Masala,220
MAIN COURSE NON VEGETARIAN,Muttton Kilhapuri,240
MAIN COURSE NON VEGETARIAN,Mutton Sukka,230
MAIN COURSE NON VEGETARIAN,Mutton Handi (Half),300
MAIN COURSE NON VEGETARIAN,Mutton Maratha (Half),300
MAIN COURSE NON VEGETARIAN,Mutton Varadi Rassa (Half),300
MAIN COURSE NON VEGETARIAN,Mutton Kadhai,260
MAIN COURSE NON VEGETARIAN,Mutton Bhuna,240
MAIN COURSE NON VEGETARIAN,Kashmiri Rogan Josh,230
MAIN COURSE NON VEGETARIAN,Mutton Hydrabadi,250
MAIN COURSE NON VEGETARIAN,Mutton Mughlai,250
MAIN COURSE NON VEGETARIAN,Mutton Sagwala,230
RICE & NOODLE,Gosht Biryani,250
